source_work_key	canonical_title	short_title	work_type	authors_editors	date_or_date_range	publisher_or_institution	place	related_source_family_ids	related_acronyms	authority_status	evidence_source	evidence_quote	bibtex_key	needs_human_review	notes
annualReportArchaeologicalSurveyIndia	Annual Report of the Archaeological Survey of India	ARASI	source_work							provisional_local_source	frasch_bibliography	Duroiselle, ARASI 1912, p. 149-51 (Hle- daung inscr.)	annualReportArchaeologicalSurveyIndia	true	Used as the shared authority target for year-specific ARASI citation families.
annualReportsArchaeologicalSurveyIndia	Annual Reports of the Archaeological Survey of India	ARASI	periodical			Archaeological Survey of India		sf-arasi	ARASI	series_authority	Frasch 2018 Myanmar Epigraphy.pdf	ARASI = Annual Reports of the Archaeological Survey of India	annualReportArchaeologicalSurveyIndia	true	Series-level authority for ARASI citations. Used as the shared authority target for year-specific ARASI citation families.
britishLibraryOrientalManuscripts	British Library Oriental manuscripts	OR	manuscript_collection			British Library	London	sf-or	OR	locator_system	frasch_extracted_text.txt	British Library Oriental Mss Sect-ion OR 3434, fol. gha verso ... OR 3475, no. 18		true	Shelfmark/folio holding authority only; do not emit a standalone BibTeX publication.
bulletinBurmaHistoricalCommission	Bulletin of the Burma Historical Commission	BBHC	periodical			Burma Historical Commission		sf-bbhc	BBHC	series_authority	Frasch 2018 Myanmar Epigraphy.pdf	BBHC = Bulletin of the Burma Historical Commission	burmaHistoricalCommissionBulletin	true	Series-level authority for BBHC citations. Keep as a provisional publication family.
burmaHistoricalCommissionBulletin	Bulletin of the Burma Historical Commission	BBHC	source_work							provisional_publication	corpus_reference	Recurring BBHC references are attested in Frasch evidence, but the exact bulletin/conference boundary still needs review.	burmaHistoricalCommissionBulletin	true	Keep as a provisional publication family.
duroiselle1921list	List of Inscriptions Found in Burma	List	book	Charles Duroiselle	1921			sf-list	List	confirmed_source_work	Frasch 2018 Myanmar Epigraphy.pdf	List = A list of inscriptions found in Burma (Charles Duroiselle 1921)	duroiselle1921list	false	Stable catalogue-style source work used for List locators. Use as the stable catalogue family for List locators.
epigraphiaBirmanica	Epigraphia Birmanica	EB	series		1919-1936			sf-eb	EB	series_authority	Frasch 2018 Myanmar Epigraphy.pdf	EB = Epigraphia Birmanica (Taw Sein Ko & Duroiselle 1919–1936)	epigraphiaBirmanica	true	Series-level authority only unless a specific EB fascicle/article is identified. Series-level entry only at this stage.
fraschBaganEpigraphicDatabasePartA	Bagan Epigraphic Database, Part A	A	source_catalogue	Tilman Frasch				sf-a	A	confirmed_local_source	Frasch-1996-Pagan-MachineEnglishTranslation-OLD-VERSION.pdf	Original Inscriptions Collected by King Bodawpaya and now placed near the Patodawgyi Pagoda, Amarapura (A)	fraschBaganEpigraphicDatabasePartA	false	Provisional because the single-letter shorthand still needs editorial confirmation.
fraschBaganEpigraphicDatabasePartB	Bagan Epigraphic Database, Part B	BED B	source_catalogue	Tilman Frasch				sf-bed-b	BED B	confirmed_local_source	Bagan Epig Database.doc	Bagan Epigraphic Database (BED) — PART B	fraschBaganEpigraphicDatabasePartB	false	Treat as a Frasch-derived local source family.
fraschBaganEpigraphicDatabasePartBShort	Bagan Epigraphic Database, Part B	B	source_catalogue	Tilman Frasch				sf-b	B	provisional_catalogue	Frasch-1996-Pagan-MachineEnglishTranslation-OLD-VERSION.pdf	Inscriptions Copied from the Stones Collected by King Bodawpaya and Placed near the Aracan Pagoda (B 1, B 2)	fraschBaganEpigraphicDatabasePartBShort	true	B is kept as a stable abbreviation family rather than an ordinary work-level citation.
gHLuceNotebookD	G. H. Luce Notebook D	Luce D	archival_notebook	G. H. Luce				sf-luce-d	Luce D	probable_private_locator_system	frasch_extracted_text.txt	References: Pl. V 581a = List 1406 = Luce D 825 ... Pl. V 599a-b = List 1445-1446 = A, p. 591-2 = Luce D 835		true	Probable private Luce notebook authority only; do not emit a standalone BibTeX publication.
gHLuceNotebookJ	G. H. Luce Notebook J	Luce J	archival_notebook	G. H. Luce				sf-luce-j	Luce J	probable_private_locator_system	frasch_extracted_text.txt	References: Pl. V 567b = Luce J2509 ... References: Luce J 2507 ... References: Luce J 2689		true	Probable private Luce notebook authority only; do not emit a standalone BibTeX publication.
harvey1925historyBurma	History of Burma	History of Burma	book	G. E. Harvey	1925					provisional_local_source	frasch_bibliography	Harvey, History of Burma, p. 332	harvey1925historyBurma	true	Promoted from repeated Frasch shorthand citations; precise edition details still need confirmation.
htway1974oldest	Oldest Burmese Inscription	u tin htway first burmese royal inscription	article	Tin Htway	1974					confirmed_local_source	local_burma_folder	Oldest Burmese Inscription	htway1974oldest	false	No stronger conservative family signal was detected.
journalBurmaResearchSociety	Journal of the Burma Research Society	JBRS	periodical					sf-jbrs	JBRS	series_authority	Frasch 2018 Myanmar Epigraphy.pdf	JBRS = Journal of the Burma Research Society	journalBurmaResearchSociety	false	Series-level authority only unless article-level evidence is available. Article-level matches can override this series-level mapping.
journalRoyalAsiaticSociety	Journal of the Royal Asiatic Society	JRAS	periodical					sf-jras	JRAS	series_authority	Frasch 2018 Myanmar Epigraphy.pdf	JRAS = Journal of the Royal Asiatic Society	journalRoyalAsiaticSociety	false	Series-level authority only unless article-level evidence is available. Article-level matches can override this series-level mapping.
luce197615th	15th Century Inscription and Library at Pagan	luce u tin htway 15th century library	article	Luce and Tin Htway	1976					confirmed_local_source	local_luce_folder	15th Century Inscription and Library at Pagan	luce197615th	false	No stronger conservative family signal was detected.
lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	Inscriptions of Burma	book	G. H. Luce and U Pe Maung Tin	1933-1956			sf-iob; sf-pl	IOB; Pl.	confirmed_source_work	frasch_extracted_text.txt	IB  Inscriptions of Burma (Luce & Pe Maung Tin 1933–1956) ... Pl.  Inscriptions of Burma (Luce & Pe Maung Tin 1933–1956)	lucePeMaungTinInscriptionsOfBurma	false	Shared source work for IOB catalogue locators and Pl. plate locators. Treat as the stable source family for IOB locators.
mandalayPalaceStoneCollection	Mandalay Palace stone collection	MP	locator_collection				Mandalay	sf-mp	MP	locator_system	frasch_extracted_text.txt	Location: ?; Mandalay Palace stone 291 ... Dhammayan temple, Bagan; MP stone 507		true	Locator collection authority only; do not emit a standalone BibTeX publication.
